logVol,logPrice,Fshare,week,Q2,Q3,Q4
7.834825251,-1.588234107,0.221069615,165,0,0,0
7.800106879,-1.536689569,0.234002322,166,0,0,0
8.027924324,-1.529687357,0.125139867,167,0,0,0
7.682062961,-1.421315829,0.03746199,168,0,0,0
7.741050481,-1.59375809,0.279858039,169,0,0,0
7.855274324,-1.537315729,0.096782404,170,1,0,0
7.662799875,-1.447691902,0.053792373,171,1,0,0
7.507519591,-1.456489806,0.067218042,172,1,0,0
7.656036702,-1.587958396,0.051513424,173,1,0,0
7.999519601,-1.544572641,0.127415332,174,1,0,0
7.675316687,-1.64658044,0.214977853,175,1,0,0
7.587851768,-1.408083592,5.41E-05,176,1,0,0
7.757408194,-1.559702134,0.133680988,177,1,0,0
7.953525184,-1.54353124,0.223442552,178,1,0,0
7.599685326,-1.406709528,0.078187824,179,1,0,0
8.027313255,-1.644736106,0.373536436,180,1,0,0
7.859952452,-1.567679857,0.082147194,181,1,0,0
7.930050344,-1.50296336,0.021766825,182,1,0,0
8.108429066,-1.559322105,0.103546746,183,0,1,0
7.999554571,-1.536727943,0.110271003,184,0,1,0
7.772210957,-1.519286401,0.065494404,185,0,1,0
7.684354634,-1.517949872,0.198115868,186,0,1,0
7.94481187,-1.615875586,0.034737741,187,0,1,0
7.782317967,-1.524018395,0.07391476,188,0,1,0
7.779738644,-1.519297129,0.003560202,189,0,1,0
7.884322177,-1.510729387,0.090064312,190,0,1,0
7.97931567,-1.589746369,0.090933528,191,0,1,0
7.418696424,-1.482004903,0.171597188,192,0,1,0
7.801781849,-1.463152436,0.047242348,193,0,1,0
7.851638708,-1.488765789,0.000935993,194,0,1,0
7.62839708,-1.583818398,0.110168416,195,0,1,0
7.914374322,-1.5738034,0.161199658,196,0,0,1
8.282049759,-1.518338075,0.104978551,197,0,0,1
7.781618221,-1.571098469,0.08335874,198,0,0,1
7.687833601,-1.654267878,0.174880129,199,0,0,1
7.404106741,-1.46767933,0.002697303,200,0,0,1
7.845053175,-1.530635941,0.049064778,201,0,0,1
8.244148277,-1.556416422,0.066840958,202,0,0,1
7.444673858,-1.493328428,0.027181267,203,0,0,1
8.051863705,-1.537788254,0.064575379,204,0,0,1
7.680727608,-1.517033929,0.357777182,205,0,0,1
7.462413368,-1.48913825,0.004603489,206,0,0,1
7.723719452,-1.513661691,0.002523666,207,0,0,1
7.746596542,-1.505249146,0.001774072,208,0,0,1
8.024988341,-1.542523398,0.152977281,209,0,0,0
7.643871463,-1.410952045,0.002414725,210,0,0,0
7.666083085,-1.491359921,0.144105684,211,0,0,0
7.608942422,-1.444722764,0.149028392,212,0,0,0
8.008226365,-1.564603982,0.313880965,213,0,0,0
7.86289626,-1.480048626,0.005457321,214,0,0,0
7.951141452,-1.58690718,0.391375588,215,0,0,0
7.765824094,-1.534870317,0.048303065,216,0,0,0
7.840634112,-1.492929716,0.293662129,217,0,0,0
7.892242282,-1.56040241,0.240018637,218,0,0,0
7.387088832,-1.521896376,0.091981002,219,0,0,0
7.729433735,-1.64152329,0.114804347,220,0,0,0
7.64844727,-1.508196406,0.030943653,221,0,0,0
7.502361739,-1.455911971,0.052983341,222,1,0,0
7.796295619,-1.563886896,0.176795792,223,1,0,0
7.650128321,-1.508714766,0.120888071,224,1,0,0
7.57108107,-1.605447283,0.141526545,225,1,0,0
7.700413526,-1.521764267,0.007774958,226,1,0,0
7.998765662,-1.498617784,0.182271645,227,1,0,0
7.725069114,-1.427886132,0.08314334,228,1,0,0
7.710108905,-1.511284719,0.005898873,229,1,0,0
7.903272365,-1.520374023,0.194807659,230,1,0,0
7.552355011,-1.417418022,0.161263706,231,1,0,0
7.424786284,-1.436802789,0.13980739,232,1,0,0
7.739762952,-1.644186168,0.090390997,233,1,0,0
7.840651855,-1.58240972,0.002302641,234,1,0,0
7.402213066,-1.545566453,0.066316444,235,0,1,0
7.362167731,-1.495303152,0.042952176,236,0,1,0
7.618375266,-1.48545456,0.086728375,237,0,1,0
7.430785467,-1.411924649,0.131559578,238,0,1,0
7.848300508,-1.526327903,0.005843195,239,0,1,0
7.809317945,-1.606357417,0.005612368,240,0,1,0
7.696107569,-1.623086077,0.102296994,241,0,1,0
7.517162859,-1.667377091,0.007291421,242,0,1,0
7.828394556,-1.802166329,0.003110328,243,0,1,0
7.879028268,-1.587718421,0.204647348,244,0,1,0
7.888951355,-1.762650017,0.233870309,245,0,1,0
8.115410683,-1.813561234,0.080496176,246,0,1,0
7.48227007,-1.560021633,0.125081634,247,0,1,0
7.605173955,-1.699948356,0.00640215,248,0,0,1
7.750097731,-1.596939595,0.098536513,249,0,0,1
7.840384055,-1.636533614,0.009063065,250,0,0,1
7.872225348,-1.559021563,0.095903735,251,0,0,1
7.959993519,-1.600990748,0.135521637,252,0,0,1
7.472413994,-1.432111665,0.016743625,253,0,0,1
7.643923022,-1.599249517,0.228732465,254,0,0,1
7.759351233,-1.466856596,0.00935978,255,0,0,1
7.914239652,-1.566220168,0.046092725,256,0,0,1
7.89184891,-1.542080746,0.200723108,257,0,0,1
7.862598593,-1.589646117,0.177184155,258,0,0,1
7.75077346,-1.558308727,0.081151982,259,0,0,1
7.484909478,-1.467119506,0.002097287,260,0,0,1
7.56642338,-1.567635712,0.020835601,261,0,0,1
